"day","hour","station","day_hour"
286,22,"7.6","d286.h22"
286,23,"7.6","d286.h23"
287,7,"7.45","d287.h07"
287,8,"7.45","d287.h08"
289,3,"CAP 1.1","d289.h03"
289,4,"CAP 1.1","d289.h04"
289,5,"CAP 1.1","d289.h05"
289,6,"CAP 1.2","d289.h06"
289,7,"CAP 1.2","d289.h07"
289,8,"CAP 1.2","d289.h08"
289,12,"CAP 2.1","d289.h12"
289,13,"CAP 2.1","d289.h13"
289,14,"CAP 2.2","d289.h14"
289,15,"CAP 2.2","d289.h15"
289,16,"CAP 2.2","d289.h16"
289,20,"CAP 3.1","d289.h20"
289,21,"CAP 3.1","d289.h21"
290,0,"CAP 3.2","d290.h00"
290,1,"CAP 3.2","d290.h01"
290,4,"CAP 4","d290.h04"
290,5,"CAP 4","d290.h05"
290,6,"CAP 4","d290.h06"
291,16,"6.6","d291.h16"
291,17,"6.6","d291.h17"
291,18,"6.6","d291.h18"
292,4,"4.85","d292.h04"
292,5,"4.85","d292.h05"
293,11,"SHED 1","d293.h11"
293,12,"SHED 1","d293.h12"
293,13,"SHED 2","d293.h13"
293,14,"SHED 2","d293.h14"
